id,userName,review,rating,date,clean_review
13142691621,Wuastaspp,No me deja descargar el wuatsapp,5,2025-09-15 19:11:00-07:00,no me deja descargar el wuatsapp
13142650205,Dianee Romero,Romer,4,2025-09-15 18:54:11-07:00,romer
13142568524,Banta12353,I need to see my private chats,5,2025-09-15 18:21:27-07:00,i need to see my private chats
13142566320,Alexis alay Liera Rocha,Se reproducen automáticamente súper rápidos sin entender que podría decir el audio,1,2025-09-15 18:20:38-07:00,se reproducen automticamente sper rpidos sin entender que podra decir el audio
13142520178,Øld_tækër,I so much love this app because it's convenient to use,5,2025-09-15 18:02:18-07:00,i so much love this app because it s convenient to use
13142457471,kira 910548P,Peque ahora la ubicación en tiempo real no sale en la info del contacto solo en el chat?,5,2025-09-15 17:37:09-07:00,peque ahora la ubicacin en tiempo real no sale en la info del contacto solo en el chat
13142398578,Nanay Juan,Nice app but it’s no improvement over other “Whassup” apps which lose your login and you have to use your phone to log back in again.,3,2025-09-15 17:13:25-07:00,nice app but its no improvement over other whassup apps which lose your login and you have to use your phone to log back in again
13142212394,Chiquitllo,George,5,2025-09-15 15:57:02-07:00,george
13142202558,divine Eluemuno,Why can’t I logged in my WhatsApp back you guys logged me out now am finding difficult to logged in back what’s wrong,1,2025-09-15 15:53:05-07:00,why cant i logged in my whatsapp back you guys logged me out now am finding difficult to logged in back whats wrong
13142196654,Bogghjvggh,Good,5,2025-09-15 15:50:40-07:00,good
13142147648,Aaron Garcia lopez,I love the Roblox app!! I like to play steal a brainrot on it the most my best brainrots rot has to be extinct tralalero I can’t wait to update y’all guys on my base,5,2025-09-15 15:30:43-07:00,i love the roblox app i like to play steal a brainrot on it the most my best brainrots rot has to be extinct tralalero i cant wait to update yall guys on my base
13142013830,Aeav23463,"There are significant issues that I have had with WhatsApp customer service anytime you request any sort of you get canned computer based generated response that provides no sort of customer support,  be careful with WhatsApp as there’s a lot of scams.",1,2025-09-15 14:37:01-07:00,there are significant issues that i have had with whatsapp customer service anytime you request any sort of you get canned computer based generated response that provides no sort of customer support be careful with whatsapp as theres a lot of scams
13141822462,Ubaid Gujjar,Gujjar,5,2025-09-15 13:24:20-07:00,gujjar
13141669067,Tuttiwish,Pretty good. I’m new,5,2025-09-15 12:30:01-07:00,pretty good im new
13141532423,DwayneShakur,"Was fine before,now it will crop the video itself,won’t start from the beginning and won’t upload video more than 39seconds,also the status isn’t in order anymore",1,2025-09-15 11:43:41-07:00,was fine before now it will crop the video itself wont start from the beginning and wont upload video more than 39seconds also the status isnt in order anymore
13141420118,M Ali hotak,SMS didn’t get code,2,2025-09-15 11:07:02-07:00,sms didnt get code
13141391304,La Guayca,1960,5,2025-09-15 10:57:53-07:00,1960
13141233486,Henri65478,On fait toutes les mises à jour nécessaires pour reconnecter le compte à un nouveau téléphone. Juste envoyer un code pour avoir accès au même compte depuis le nouveau téléphone c’est aussi compliqué que ça ?,1,2025-09-15 10:08:01-07:00,on fait toutes les mises jour ncessaires pour reconnecter le compte un nouveau tlphone juste envoyer un code pour avoir accs au mme compte depuis le nouveau tlphone cest aussi compliqu que a
13141232930,Kvng lako,Good app but always redces my video and pictures upload quality when I post on WhatsApp status,3,2025-09-15 10:07:50-07:00,good app but always redces my video and pictures upload quality when i post on whatsapp status
13141078938,UnendingLanding,Don't ask me to review your app,1,2025-09-15 09:21:26-07:00,don t ask me to review your app
13141005922,Dunkplug,Smelly,1,2025-09-15 09:00:03-07:00,smelly
13140868606,satified patron,Perfect Safe Quick Private. More importantly just what doctor ordered for sending “ Hugs Love “ to your most precious gifts  “Family”!,5,2025-09-15 08:19:57-07:00,perfect safe quick private more importantly just what doctor ordered for sending hugs love to your most precious gifts family
13140812406,Dalena18,WhatsApp debería de tener la opción de traducción incluida así sería más eficaz e interesante,5,2025-09-15 08:03:54-07:00,whatsapp debera de tener la opcin de traduccin incluida as sera ms eficaz e interesante
13140701753,Andbchcbsbe,Useful,5,2025-09-15 07:32:21-07:00,useful
13140683736,BadNintendo,They just are spammers using it and alllowed,1,2025-09-15 07:27:14-07:00,they just are spammers using it and alllowed
13140495784,Esteband23k,No puedo usar mis efectos de cámara en llamada mis filtros,1,2025-09-15 06:34:18-07:00,no puedo usar mis efectos de cmara en llamada mis filtros
